model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,model_dimension,ffn_hid_dim,non_linearity,dropout,description,version,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
08_01_07_myt-tiny,840.70 K,840704,3:14:13.012563,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,512,gelu,0.5,hidden dimension experiments,v0.7,3.1286193413734438,22.842420176630448,0.18976022338867188,4.513643608628763,3.1294515414237978,22.861437551884418,0.18933676147460937,4.514844219514436,3.128995771408081,22.851020368232398,0.18972213745117186,4.5141866823729755
08_01_08_myt-tiny,906.50 K,906496,3:14:16.756791,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,576,gelu,0.5,hidden dimension experiments,v0.8,3.1292854714393616,22.857641268539073,0.18982220458984375,4.514604631171449,3.129672067165375,22.866479643289104,0.1893353576660156,4.515162370908198,3.130195783138275,22.878458320360764,0.18981317138671874,4.5159179333451345
08_01_12_myt-tiny,2.42 M,2419712,3:16:17.462532,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,2048,gelu,0.5,hidden dimension experiments,v0.12,3.1295835614204406,22.86445591803123,0.18977978515625,4.51503468410889,3.130480026245117,22.884962288743797,0.18939285278320311,4.5163280094657825,3.129997977256775,22.873933274300455,0.18979339599609374,4.515632559780836
08_03_03_myt-tiny,663.89 K,663892,1:43:59.836551,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,gelu,0.5,hidden dimension experiments,v3.3,3.052723439693451,21.172929168380364,0.18983316040039064,4.40414896765124,3.053398539543152,21.187227835650667,0.18935888671875,4.405122930856509,3.0526721248626707,21.171842710978893,0.1897816162109375,4.40407493599935
08_03_08_myt-tiny,839.85 K,839848,2:39:30.297531,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,swiglufast,0.5,hidden dimension experiments,v3.8,3.001865711212158,20.123045714032997,0.2054969482421875,4.330776774980402,3.0018814005851744,20.12336143448015,0.20504153442382814,4.330799409961047,3.0017982873916624,20.121688987149316,0.2054840087890625,4.330679502968935
08_03_07_myt-tiny,839.85 K,839848,2:41:06.274943,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,swiglu,0.5,hidden dimension experiments,v3.7,2.974484546661377,19.579528314847042,0.20420797729492188,4.291274104669225,2.974504243373871,19.579913970985093,0.20370465087890624,4.291302521018662,2.9749571709632874,19.58878426286927,0.20413058471679688,4.291955957405795
08_02_1_myt-tiny,2.42 M,2419712,3:18:45.826374,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,2048,gelu,0.5,Combination of Norms,v2.1,3.129218183517456,22.856103277103156,0.18976849365234374,4.514507555220204,3.129969656944275,22.873285486534844,0.1893673095703125,4.515591702206436,3.1302686138153075,22.880124634648354,0.18983621215820312,4.516023005801714
08_02_3_myt-tiny,2.42 M,2419200,3:34:30.502538,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,2048,gelu,0.5,Combination of Norms,v2.3,2.9843588638305665,19.773820459927215,0.219914306640625,4.30551973308138,2.985126471042633,19.789004814186708,0.21961959838867187,4.306627156199578,2.9843642649650572,19.77392726127934,0.21971432495117188,4.305527525271325
08_02_2_myt-tiny,2.42 M,2419200,3:41:16.051159,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,2048,gelu,0.5,Combination of Norms,v2.2,3.109420995235443,22.408066266775243,0.18973483276367187,4.485946249862199,3.110110947608948,22.423532100012313,0.18931204223632814,4.486941640729904,3.1100817279815676,22.422876902332163,0.1898070068359375,4.486899485718386
08_02_4_myt-tiny,2.42 M,2418688,3:49:56.056117,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,2048,gelu,0.5,Combination of Norms,v2.4,2.945007052898407,19.01079646721173,0.219424560546875,4.248747070599553,2.9448393774032593,19.007609089730956,0.2191675109863281,4.248505165994225,2.944955499172211,19.009816415078777,0.2193829345703125,4.248672694294431
08_03_06_myt-tiny,663.89 K,663892,3:45:00.965006,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,silu,0.5,hidden dimension experiments,v3.6,2.985011330127716,19.786726421237745,0.20506863403320313,4.306461042972624,2.9855833745002744,19.798048544808154,0.20465261840820312,4.307286328552083,2.9855967569351196,19.79831349267569,0.20500433349609376,4.307305635324469
08_03_01_myt-tiny,663.89 K,663892,3:44:54.831074,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,relu,0.5,hidden dimension experiments,v3.0,2.957738000869751,19.254369093359756,0.20778927612304687,4.267113946103627,2.9583848485946653,19.266827767200468,0.20737823486328125,4.268047150108571,2.9582561254501343,19.26434784016056,0.20794589233398436,4.267861441866308
08_03_05_myt-tiny,839.85 K,839848,3:46:41.511686,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,glu,0.5,hidden dimension experiments,v3.5,2.9561501841545104,19.22382094312176,0.20499404907226562,4.264823210802708,2.9562982096672057,19.2266667696951,0.20447073364257812,4.265036766475799,2.956918369293213,19.238594070201202,0.20490252685546875,4.265931467692798
08_03_04_myt-tiny,663.89 K,663892,3:47:51.181272,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,softplus,0.5,hidden dimension experiments,v3.4,3.0984920630455015,22.164503395379935,0.18972994995117187,4.470179133589559,3.0993450598716734,22.18341771220914,0.18929327392578124,4.47140974788057,3.098509308338165,22.164885632023616,0.18967398071289063,4.470204013287763
08_03_02_myt-tiny,663.89 K,663892,3:48:03.408316,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,leakyrelu,0.5,hidden dimension experiments,v3.2,2.9634150013923644,19.3639870128584,0.20865560913085937,4.275304126604725,2.963551571846008,19.36663174194091,0.2082650146484375,4.275501156120929,2.963579071998596,19.367164334592086,0.20882998657226562,4.275540830454691
08_04_03_myt-tiny,839.85 K,839848,0:29:25.607195,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,swiglu,0.5,Attn Flash and Compile,v4.3,2.4995783548355104,12.177358353811512,0.2810791015625,3.6061292968345846,2.5001067543029785,12.18379456377604,0.28078594970703125,3.606891616125909,2.4999390754699706,12.181751770593353,0.2809073181152344,3.606649706705067
08_04_01_myt-tiny,839.85 K,839848,0:45:31.511046,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,swiglu,0.5,Attn Normal,v4.1,2.966194279193878,19.41787976889159,0.20657354736328126,4.279313776906221,2.9660492873191835,19.415064538199026,0.20612799072265625,4.27910459784763,2.9664121084213257,19.422110011358818,0.20666006469726564,4.2796280380524205
08_04_02_myt-tiny,839.85 K,839848,0:47:44.576203,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,swiglu,0.5,Attn Flash,v4.2,2.5657045340538023,13.009821003528705,0.2705377197265625,3.7015292076657493,2.565587359905243,13.008296678137214,0.2703795166015625,3.701360161102702,2.566378263950348,13.018589062207464,0.2703325500488281,3.7025011944463944
08_04_04_myt-tiny,810.30 M,810298016,13:15:17.343638,cuda,True,True,False,0.0003,32,2048,128,10000,16,16,2048,,swiglu,0.5,Trail 1,v4.4,3.162947561740875,23.640174208600282,0.1898486328125,4.563168761915399,3.163026475906372,23.642039826831038,0.18967926025390625,4.563282610990617,3.1656601929664614,23.704388338587965,0.19004745483398439,4.567082261532313
08_05_01_myt-tiny,69.89 M,69895424,0:02:33.304546,cuda,True,True,False,0.0003,32,256,100352,1000,64,8,256,832,gelu,0.5,myt Nano trail 1,v5.1,7.976742076873779,2912.427127248663,0.04888916015625,11.508006236756133,7.960671329498291,2865.996334704103,0.0496826171875,11.484821049214137,7.960614347457886,2865.8330290379467,0.04835205078125,11.484738841507024
08_05_02_myt-tiny,69.89 M,69895424,9:07:36.976993,cuda,True,True,False,0.0003,256,256,100352,50000,64,8,256,832,gelu,0.5,myt Nano trail 2,v5.2,7.41523759174347,1661.1037860605736,0.048026397705078126,10.697926500621724,7.422618478775024,1673.409563363621,0.04819268798828125,10.70857486973951,7.42137728214264,1671.333821517354,0.0481815185546875,10.7067842015132
08_05_03_myt-tiny,47.81 M,47815936,5:51:42.821373,cuda,True,True,False,0.0003,256,256,100352,50000,32,8,256,832,gelu,0.5,myt Nano trail 3,v5.3,7.4205198574066165,1669.9013927443216,0.0480081787109375,10.705547199098604,7.42735590839386,1681.3560314481426,0.048206878662109376,10.715409535957164,7.422618262290954,1673.4092010971474,0.048083709716796874,10.708574557419015
