model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,model_dimension,ffn_hid_dim,non_linearity,dropout,description,version,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
08_00_0_myt-tiny,840.70 K,840704,0:26:49.589338,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,gelu,0.5,base model,v0.0,3.1294104590415954,22.860498368861286,0.18977590942382813,4.514784950165365,3.1304526481628416,22.884335750940124,0.189336181640625,4.516288511242255,3.13009077501297,22.87605602247527,0.18976904296875,4.515766438643504
08_01_05_myt-tiny,709.12 K,709120,2:22:06.471609,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,384,gelu,0.5,hidden dimension experiments,v0.5,3.0450100865364074,21.010243122392925,0.1982774658203125,4.393020951302948,3.046857123374939,21.049085676197617,0.19772637939453125,4.395685662190237,3.045495700836182,21.020448474626832,0.19832577514648436,4.393721544645018
08_01_06_myt-tiny,774.91 K,774912,2:22:20.385068,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,448,gelu,0.5,hidden dimension experiments,v0.6,2.9626833562850954,19.34982462805476,0.21956854248046875,4.274248585836777,2.96331547164917,19.36205981611208,0.21942361450195313,4.275160535537798,2.9630288157463074,19.356510362803984,0.21963711547851564,4.274746978488296
08_01_10_myt-tiny,1.10 M,1103872,2:25:04.301456,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,768,gelu,0.5,hidden dimension experiments,v0.10,2.9564010214805605,19.228643599789464,0.2191937255859375,4.26518509256907,2.9571291399002075,19.24264942771117,0.2189285888671875,4.266235545402275,2.956762294769287,19.235591650097433,0.21913275146484376,4.265706299751122
08_01_11_myt-tiny,1.37 M,1367040,2:29:57.972417,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,1024,gelu,0.5,hidden dimension experiments,v0.11,3.129702827453613,22.86718303361212,0.18972653198242187,4.515206748623495,3.130168639659882,22.877837327849658,0.18934402465820313,4.515878773583465,3.1301303524971007,22.87696141713598,0.18983621215820312,4.51582353688359
08_01_09_myt-tiny,972.29 K,972288,2:51:12.795757,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,640,gelu,0.5,hidden dimension experiments,v0.9,3.0465774488449098,21.043199606183883,0.19920452880859374,4.395282177132701,3.0481613416671753,21.076556188649874,0.19857742309570312,4.397567251452683,3.0479754190444948,21.072637944302624,0.19913638305664064,4.397299021806953
08_01_01_myt-tiny,445.95 K,445952,3:04:25.182892,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,128,gelu,0.5,hidden dimension experiments,v0.0,2.963449177265167,19.36464880532411,0.18234725952148437,4.275353431966936,2.963063660621643,19.35718484974565,0.18199038696289063,4.274797249017143,2.963943375110626,19.374221138160078,0.18214361572265625,4.276066408747797
08_01_02_myt-tiny,511.74 K,511744,3:12:26.200621,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,192,gelu,0.5,hidden dimension experiments,v0.2,2.9768994569778444,19.626868257617833,0.21981228637695313,4.294758083806984,2.977746114730835,19.64349253433839,0.21955999755859376,4.295979552748554,2.9773057556152343,19.634844247654353,0.21971536254882812,4.295344248836266
08_01_04_myt-tiny,643.33 K,643328,3:12:54.587320,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,320,gelu,0.5,hidden dimension experiments,v0.4,3.0454154305458068,21.01876122484288,0.19907791137695313,4.393605739095163,3.0455666460990907,21.021939828771956,0.19858596801757813,4.393823897023991,3.045896203517914,21.028868906702392,0.19905496215820312,4.394299347877816
08_01_03_myt-tiny,577.54 K,577536,3:13:24.577442,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,256,gelu,0.5,hidden dimension experiments,v0.3,2.997744209289551,20.04027922072585,0.2154271240234375,4.324830704595642,2.9990376734733584,20.06621737555217,0.21511007690429687,4.326696778959189,2.997927902698517,20.043960826065504,0.2151908264160156,4.325095718165802
