model_name,params,param_count,train_time,device,train,scratch,,alpha,batch_size,block_size,n_embeddings,max_iters,Nx_blocks,n_heads,n_embeddings,ffn_hid_dim,non_linearity,dropout,,version,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
05_02_Projections,304.2 K,304224,03:52.3,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,128,50000,,,128,,relu,,,,1.789037043,5.983687659,0.480915649,2.58103487,1.789171902,5.984494665,0.481045258,2.58122943,1.789224291,5.984808196,0.481012939,2.581305012
05_03_1_post_LayerNorm,305.2 K,305248,06:51.9,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,128,50000,,,128,,relu,,,,1.717661961,5.57148687,0.499283661,2.478062393,1.717121486,5.568476437,0.499552704,2.477282653,1.718003018,5.57338739,0.499308777,2.478554435
02_02_1_Average_ctx,41.1 K,41056,14:21.2,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,3.058348885,21.29237197,0.194662842,4.41226477,3.058768023,21.30129829,0.194214417,4.412869459,3.058527916,21.29618431,0.194640137,4.412523057
02_02_0_PureBigram,41.1 K,41056,23:55.2,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.463022099,11.74023814,0.285070709,3.553389767,2.46389268,11.75046342,0.284875183,3.55464575,2.464029988,11.75207697,0.28496347,3.554843845
02_02_2_Self_Attn,90.2 K,90208,33:05.8,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.373786545,10.73797523,0.319069183,3.424650077,2.373275101,10.73248476,0.318968903,3.423912219,2.373383703,10.73365039,0.319237,3.424068898
05_05_ScaleALittle,832.6 K,832608,27:20.5,cuda,TRUE,TRUE,FALSE,2.00E-05,512,128,128,50000,4,8,128,512,gelu,0.5,,,1.743429861,5.716918066,0.485728577,2.515237614,1.744364262,5.722262458,0.48528064,2.51658567,1.744682356,5.724082968,0.485525635,2.517044583
03_01_2_FFN_GeLU,147.9 K,147936,00:40.2,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,1.952692742,7.04763953,0.430075317,2.817140136,1.953327338,7.052113349,0.42975293,2.818055663,1.953633178,7.054270496,0.429861267,2.818496897
03_01_1_FFN_ReLU,147.9 K,147936,26:14.4,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,1.96749531,7.152738637,0.426545166,2.838495726,1.967985041,7.156242414,0.42625769,2.839202259,1.967666463,7.153962959,0.426808411,2.838742648
02_02_3_Multi_Attn,90.2 K,90208,57:26.4,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.191697505,8.95039356,0.361569641,3.161951121,2.191861183,8.951858668,0.361226257,3.162187259,2.192624974,8.958698626,0.361512695,3.163289176
03_01_2_FFN_GeLU,156.1 K,156128,59:03.7,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.008960094,7.455560233,0.411311493,2.898316765,2.0096443,7.460663117,0.411073944,2.899303866,2.009623205,7.460505738,0.411306152,2.899273432
02_02_0_PureBigram,32.9 K,32864,18:29.3,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,2.461416867,11.72140745,0.285193726,3.551073907,2.461580599,11.72332678,0.285093445,3.551310123,2.462208071,11.73068515,0.284974731,3.552215373
02_02_2_Self_Attn,82.0 K,82016,23:55.8,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,2.327061788,10.24778708,0.327611755,3.357240502,2.327882119,10.25619711,0.327336121,3.358423988,2.328283634,10.26031595,0.327296814,3.359003252
02_02_1_Average_ctx,32.9 K,32864,23:40.3,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,3.016844614,20.42673564,0.19924646,4.352386763,3.017544644,20.44103999,0.198821167,4.353396694,3.017775038,20.44575003,0.199454529,4.353729082
05_03_2_pre_LayerNorm,297.1 K,297056,02:43.4,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,1.861295189,6.432062117,0.458376831,2.685281339,1.86286651,6.442176892,0.457769226,2.687548275,1.862754323,6.441454206,0.458060791,2.687386424
03_01_1_FFN_ReLU,156.1 K,156128,16:25.5,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,2.045637926,7.734090743,0.401285919,2.951231691,2.046499675,7.740758462,0.401107788,2.952474933,2.04606966,7.737430534,0.401403442,2.951854552
05_03_1_post_LayerNorm,297.1 K,297056,03:43.6,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,1.861729459,6.434855975,0.45803125,2.685907858,1.861309787,6.432156013,0.458091858,2.6853024,1.862220385,6.438015786,0.458117065,2.686616114
05_02_Projections,296.0 K,296032,04:02.6,cuda,TRUE,TRUE,FALSE,1.00E-05,512,64,128,50000,,,128,,relu,,,,1.885523121,6.589800806,0.453033997,2.720234857,1.885109374,6.587074855,0.453108826,2.719637945,1.885279858,6.588197945,0.453253357,2.719883902
05_01_Residuals,271.2 K,271200,19:15.1,cuda,TRUE,TRUE,FALSE,1.00E-05,512,128,128,50000,,,128,,relu,,,,1.895615044,6.656641275,0.44822348,2.734794424,1.896101779,6.65988208,0.448094299,2.735496633,1.896274997,6.661035797,0.448211884,2.735746535
