model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,model_dimension,ffn_hid_dim,non_linearity,dropout,description,version,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
09_01_myt-tiny,47.36 M,47356288,0:00:34.447347,cuda,True,True,False,0.0003,256,256,100352,50,32,8,256,804,gelu,0.5,myt Nano trail 1,v9.1.0,11.090963287353516,65575.88412866445,0.00054840087890625,16.000877733346474,11.079620532989502,64836.27551192407,0.00055206298828125,15.984513597875488,11.093265190124512,65727.00730675158,0.00056365966796875,16.0041986770588
09_01_myt-tiny,47.36 M,47356288,0:00:29.638187,cuda,True,True,False,0.0003,256,256,100352,50,32,8,256,804,gelu,0.5,myt Nano trail 1,v9.1.0,11.432939338684083,92312.91535275208,0.00084503173828125,16.49424488670387,11.423056659698487,91405.10960903885,0.00081634521484375,16.479987194740655,11.427544384002685,91816.23235373646,0.0007867431640625,16.4864616123392
09_01_myt-tiny,6.75 M,6753088,6:49:22.396334,cuda,True,True,False,0.0003,512,64,100352,,8,8,64,192,gelu,0.3,myt Nano trail 1,v9.1.0,37.00061059603874,1.172630021976699e+16,0.0016991821798267445,53.38059741676872,36.99692509650822,1.1683162486687792e+16,0.001651409497801716,53.37528036487284,37.00981200315485,1.1834696616956278e+16,0.0016882574192086178,53.39387224118433
