model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,n_embeddings,ffn_hid_dim,non_linearity,dropout,version,log,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc,n_kv_heads
07_02_3_myt-tiny,2.84 M,2839552,3:01:18.877346,cuda,True,True,False,0.0003,512,128,16384,50000,4,8,128,,gelu,0.5,v2.3,debug,6.8219344549179075,917.7586567552971,0.014639801025390625,9.84197100737962,6.8226894245147705,918.4517982558617,0.01464471435546875,9.843060198273035,6.8241297760009765,919.7756448418146,0.014616851806640624,9.845138186219321,4
07_02_1_myt-tiny,873.47 K,873472,3:08:03.583937,cuda,True,True,False,0.0003,512,128,512,50000,4,8,128,,gelu,0.5,v2.1,debug,5.33710365486145,207.90965925785954,0.02470367431640625,7.699812975578976,5.3371737251281735,207.9242280535518,0.02474969482421875,7.699914065605292,5.337428893089294,207.9772904245124,0.024837860107421873,7.700282195157394,
07_02_3_myt-tiny,759.30 K,759296,2:07:16.416485,cuda,True,True,False,0.0003,512,128,256,50000,4,8,128,,gelu,0.5,v2.3,debug,3.129509890079498,22.86277152495034,0.18981292724609375,4.514928398830657,3.130039279460907,22.874878037672122,0.18931716918945313,4.5156921462659145,3.1300572237968445,22.87528851585103,0.18979693603515624,4.515718034470384,4
07_02_1_myt-tiny,824.83 K,824832,2:47:40.639340,cuda,True,True,False,0.0003,512,128,256,50000,4,8,128,,gelu,0.5,v2.0,debug,3.009834876537323,20.284050276077004,0.19898663330078126,4.342273850275041,3.0102389712333677,20.292248609547848,0.19841302490234375,4.342856835689075,3.01032084274292,20.293910034584485,0.19896295166015626,4.342974951309896,
07_02_3_myt-tiny,758.78 K,758784,3:04:31.630350,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,gelu,0.5,v2.3,debug,3.1297509236335754,22.868282884211627,0.189774658203125,4.515276136743812,3.1298945727348326,22.871568128450782,0.18931692504882813,4.515483378589824,3.1301663308143617,22.877784506518413,0.1898248291015625,4.515875442623482,4
07_02_2_myt-tiny,652.80 K,652800,3:02:11.271898,cuda,True,True,False,0.0003,512,128,256,50000,4,8,128,,gelu,0.5,v2.2,debug,3.129809003829956,22.869611117144075,0.18984017944335937,4.515359928755105,3.130052213191986,22.875173897106404,0.18940423583984375,4.515710805695603,3.1297758784294127,22.86885356466273,0.18987045288085938,4.515312138904013,
07_02_1_myt-tiny,824.83 K,824832,3:05:14.293104,cuda,True,True,False,0.0003,512,128,256,50000,4,8,128,,gelu,0.5,v2.1,debug,3.129920930862427,22.872170988106884,0.18980490112304688,4.515521405329792,3.1303933696746826,22.882979242320573,0.18926812744140625,4.516202990461356,3.130392081737518,22.88294977050015,0.1897709045410156,4.516201132360796,
07_02_1_myt-tiny,824.32 K,824320,3:09:15.417162,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,gelu,0.5,v2.1,debug,3.005774933338165,20.201865130507752,0.2196739501953125,4.336416590355325,3.0069021735191344,20.224650324393714,0.21942233276367187,4.338042854174301,3.0066681222915648,20.21991727406785,0.21953436279296876,4.337705189628972,
07_02_2_myt-tiny,652.29 K,652288,3:10:23.154025,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,gelu,0.5,v2.2,debug,3.008659261226654,20.260218047521278,0.1747890625,4.340577795896346,3.010049335002899,20.28840082886465,0.1745975341796875,4.342583248439805,3.009011691570282,20.267359621509513,0.17470562744140625,4.341086245405357,
07_02_1_myt-tiny,824.32 K,824320,3:13:38.953718,cuda,True,True,False,0.0003,512,128,128,50000,4,8,128,,gelu,0.5,v2.0,debug,3.1294895033836365,22.862305433331755,0.18985739135742188,4.514898987045638,3.1300202941894533,22.8744437560256,0.18926431274414063,4.515664756308938,3.130260091304779,22.87992963937619,0.1898040771484375,4.516010710418039,
07_02_1_myt-tiny,873.47 K,873472,4:38:51.306701,cuda,True,True,False,0.0003,512,128,512,50000,4,8,128,,gelu,0.5,v2.0,debug,5.3372791471481325,207.9461490011266,0.02473114013671875,7.700066157430687,5.3372376403808595,207.93751800783826,0.024816436767578123,7.7000062758233785,5.337402009010315,207.9716992217683,0.0248812255859375,7.700243409629972,
