model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,n_embeddings,ffn_hid_dim,non_linearity,dropout,version,log,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc,n_kv_heads
07_02_2_myt-tiny,766.98 K,766976,2:32:30.773381,cuda,True,True,False,0.0003,512,128,1024,50000,4,8,128,,gelu,0.5,v2.2,debug,6.006073230743408,405.8863647891497,0.01115777587890625,8.66493206520947,6.006458951950073,406.0429539654865,0.011369720458984375,8.66548854328149,6.0034395627975465,404.8188013014811,0.011370086669921875,8.661132485524627,
07_02_1_myt-tiny,2.90 M,2905088,2:42:10.945248,cuda,True,True,False,0.0003,512,128,16384,50000,4,8,128,,gelu,0.5,v2.1,debug,6.822523672103882,918.2995752720279,0.014608245849609375,9.842821068091832,6.82327855014801,918.9930411674917,0.01464556884765625,9.843910126902571,6.8241419486999515,919.7868410620077,0.014588592529296875,9.845155747711768,
07_02_1_myt-tiny,939.01 K,939008,3:08:52.141760,cuda,True,True,False,0.0003,512,128,1024,50000,4,8,128,,gelu,0.5,v2.1,debug,6.0056744480133055,405.72453658577865,0.01118133544921875,8.664356743342358,6.005923851966858,405.8257385088117,0.011330474853515625,8.664716557189328,6.003369462966919,404.79042456668884,0.01136737060546875,8.661031352846614,
07_02_2_myt-tiny,2.73 M,2733056,3:12:26.780034,cuda,True,True,False,0.0003,512,128,16384,50000,4,8,128,,gelu,0.5,v2.2,debug,6.82269983291626,918.4613579206767,0.01460736083984375,9.843075214422248,6.822645054817199,918.4110477313903,0.014663665771484376,9.842996186330383,6.824316632270813,919.9475267460019,0.014612762451171876,9.845407762833174,
07_02_1_myt-tiny,939.01 K,939008,3:43:50.984974,cuda,True,True,False,0.0003,512,128,1024,50000,4,8,128,,gelu,0.5,v2.0,debug,6.005974543571472,405.84631098811207,0.011162750244140625,8.664789689715919,6.00624206161499,405.95489672287044,0.011363189697265625,8.66517563667065,6.00360791015625,404.8869572142065,0.011342498779296875,8.661375359424175,
07_02_1_myt-tiny,2.90 M,2905088,3:50:53.526393,cuda,True,True,False,0.0003,512,128,16384,50000,4,8,128,,gelu,0.5,v2.0,debug,6.822002947807312,917.821518850253,0.01460150146484375,9.8420698217315,6.8220031576156615,917.821711416891,0.014663238525390625,9.842070124420964,6.824204413414002,919.84429707849,0.0145870361328125,9.845245865244959,

07_02_3_myt-tiny,873.47 K,873472,2:40:05.709531,cuda,True,True,False,0.0003,512,128,1024,50000,4,8,128,,gelu,0.5,v2.3,debug,6.005595462799072,405.692491611893,0.011160736083984374,8.664242791765481,6.006034127235413,405.87049351875226,0.011371307373046875,8.664875650772403,6.003428280830383,404.8142341748209,0.011344818115234375,8.661116209086549,4
07_02_3_myt-tiny,807.94 K,807936,2:47:37.129875,cuda,True,True,False,0.0003,512,128,512,50000,4,8,128,,gelu,0.5,v2.3,debug,5.336970039367676,207.88188116191074,0.0247841796875,7.699620209168723,5.337259799957275,207.9421258662121,0.0247926025390625,7.700038245334382,5.337378005981446,207.96670733097835,0.024869873046875,7.700208780579256,4
07_02_2_myt-tiny,701.44 K,701440,2:58:50.112258,cuda,True,True,False,0.0003,512,128,512,50000,4,8,128,,gelu,0.5,v2.2,debug,5.337080188751221,207.90478048412083,0.024721527099609376,7.6997791211381195,5.337543829917908,208.00119604848948,0.0247415771484375,7.700448013950051,5.3373245296478276,207.95558633131344,0.02480645751953125,7.70013163053794,
