model_name,params,param_count,train_time,device,train,scratch,check,alpha,batch_size,context_length,vocab_size,max_iters,Nx_blocks,n_heads,n_embeddings,ffn_hid_dim,non_linearity,dropout,version,log,train_loss,train_perplexity,train_accuracy,train_bpc,val_loss,val_perplexity,val_accuracy,val_bpc,test_loss,test_perplexity,test_accuracy,test_bpc
07_00_1_myt-tiny,832.6 K,832608,0:02:06.755493,cuda,True,True,False,0.0003,128,128,50257,1000,4,8,128,,gelu,0.5,v0.1,debug,2.3448150873184206,10.431343661471102,0.3185302734375,3.3828530982759073,2.335171127319336,10.331227733412902,0.321038818359375,3.368939805010696,2.340519142150879,10.38662729936804,0.321435546875,3.3766553594867643
07_00_1_myt-tiny,832.6 K,832608,0:02:08.039363,cuda,True,True,False,0.0003,128,128,50257,1000,4,8,128,,gelu,0.5,v0.1,debug,2.317451524734497,10.14977486785082,0.32569580078125,3.343375822235026,2.325196409225464,10.228688897373821,0.323004150390625,3.3545493286824013,2.3241356372833253,10.217844344002485,0.324139404296875,3.353018958261964
07_00_1_myt-tiny,832.61 K,832608,0:00:14.970072,cuda,True,True,False,0.0003,128,128,50257,100,4,8,128,,gelu,0.5,v0.1,debug,2.6312618255615234,13.891287229208384,0.26806640625,3.7961083870180508,2.599752902984619,13.460411596510808,0.27703857421875,3.7506506206725967,2.6137313842773438,13.649888925574945,0.2694091796875,3.7708173063127695
07_00_0_myt-tiny,832.6 K,832608,1:09:29.646698,cuda,True,True,False,0.0003,128,128,50257,50000,4,8,128,,gelu,0.5,v0.0,debug,1.4837320418357849,4.40937096884867,0.5611903076171875,2.1405728587645427,1.483428683757782,4.408033553414501,0.561578125,2.1401352055697944,1.486537298679352,4.421757752867063,0.56098876953125,2.144619988901177
07_00_1_myt-tiny,832.61 K,832608,0:00:09.663201,cuda,True,True,False,0.0003,128,128,50257,100,4,8,128,,gelu,0.5,v0.1,debug,2.595425844192505,13.402293435198048,0.27728271484375,3.7444079944115782,2.6103663444519043,13.604033701325564,0.26904296875,3.765962580044214,2.6389455795288086,13.998435586203016,0.2701416015625,3.8071937007620638
07_00_1_myt-tiny,832.61 K,832608,0:00:09.301099,cuda,True,True,False,0.0003,128,128,50257,100,4,8,128,,gelu,0.5,v0.1,debug,2.6229825019836426,13.776751560513176,0.27099609375,3.784163847950327,2.6082706451416016,13.5755535905782,0.268310546875,3.762939125042046,2.6308491230010986,13.885555442244225,0.26806640625,3.7955129830807635
07_00_1_myt-tiny,832.61 K,832608,0:01:18.474857,cuda,True,True,False,0.0003,128,128,50257,1000,4,8,128,,gelu,0.5,v0.1,debug,2.327451252937317,10.251779014734405,0.3209716796875,3.3578023805234714,2.3259967088699343,10.236878189968674,0.3234375,3.3557039170107044,2.3223957777023316,10.200082185934587,0.323590087890625,3.350508871472621
07_00_1_myt-tiny,832.61 K,832608,0:00:24.968110,cuda,True,True,False,0.0003,128,128,50257,1000,4,8,128,,gelu,0.5,v0.1,debug,2.3331114768981935,10.309970914183769,0.32105712890625,3.3659683575621493,2.341754698753357,10.399468496684701,0.320086669921875,3.3784378908698964,2.3384655475616456,10.365319264266914,0.32015380859375,3.373692648756881
07_00_1_myt-tiny,832.61 K,832608,0:00:24.967773,cuda,True,True,False,0.0003,128,128,50257,1000,4,8,128,,gelu,0.5,v0.1,debug,2.328848385810852,10.266112122504635,0.320050048828125,3.3598180171915835,2.3357622623443604,10.337336689408662,0.3202392578125,3.3697926325797947,2.3284910917282104,10.262444756594615,0.320086669921875,3.3593025507904177
07_00_1_myt-tiny,832.61 K,832608,0:00:04.083240,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,v0.1,debug,2.6174256801605225,13.700408914474744,0.2762451171875,3.7761470486630078,2.6187210083007812,13.718166938425806,0.272308349609375,3.778015812147283,2.606461763381958,13.551019215892381,0.274627685546875,3.7603294602978536
07_00_1_myt-tiny,832.61 K,832608,0:00:04.055930,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,v0.1,debug,2.6122069358825684,13.629096227038197,0.270904541015625,3.768617992173536,2.6139299869537354,13.652600099262276,0.275787353515625,3.771103829409107,2.596569776535034,13.41763352446195,0.277313232421875,3.7460583399292577
07_00_1_myt-tiny,832.61 K,832608,0:00:04.028836,cuda,True,True,False,0.0003,256,128,50257,100,4,8,128,,gelu,0.5,v0.1,debug,2.614070177078247,13.654514193135496,0.273956298828125,3.7713060810065215,2.616799831390381,13.691837212979387,0.271209716796875,3.775244139745978,2.6174495220184326,13.700735561571316,0.275299072265625,3.7761814451931803
